Bulbasaur,Seed Pokemon. A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.
Ivysaur,"Seed Pokemon. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Venusaur,Seed Pokemon. The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
Charmander,"Lizard Pokemon. Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
Charmeleon,"Flame Pokemon. When it swings its burning tail, it elevates the temperature to unbearably high levels."
Charizard,Flame Pokemon. Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
Squirtle,"Tiny Turtle Pokemon. After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
Wartortle,"Turtle Pokemon. Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
Blastoise,Shellfish Pokemon. A brutal Pokemon with pressurized water jets on its shell. They are used for high speed tackles.
Caterpie,Worm Pokemon. Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
Metapod,"Cocoon Pokemon. This Pokemon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
Butterfree,"Butterfly Pokemon. In battle, it flaps its wings at high speed to release highly toxic dust into the air."
Weedle,"Hairy Bug Pokemon. Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
Kakuna,"Cocoon Pokemon. Almost incapable of moving, this Pokemon can only harden its shell to protect itself from predators."
Beedrill,Poison Bee Pokemon. Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
Pidgey,Tiny Bird Pokemon. A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
Pidgeotto,"Bird Pokemon. Very protective of its sprawling territorial area, this Pokemon will fiercely peck at any intruder."
Pidgeot,"Bird Pokemon. When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp ."
Rattata,"Mouse Pokemon. Bites anything when it attacks. Small and very quick, it is a common sight in many places."
Raticate,Mouse Pokemon. It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.
Spearow,Tiny Bird Pokemon. Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
Fearow,"Beak Pokemon. With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
Ekans,"Snake Pokemon. Moves silently and stealthily. Eats the eggs of birds, such as Pidgey and Spearow , whole."
Arbok,Cobra Pokemon. It is rumored that the ferocious warning markings on its belly differ from area to area.
Pikachu,"Mouse Pokemon. When several of these Pokemon gather, their electricity could build and cause lightning storms."
Raichu,Mouse Pokemon. Its long tail serves as a ground to protect itself from its own high voltage power.
Sandshrew,Mouse Pokemon. Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
Sandslash,Mouse Pokemon. Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
Nidoran (female),"Poison Pin Pokemon. Although small, its venomous barbs render this Pokemon dangerous. The female has smaller horns."
Nidorina,Poison Pin Pokemon. The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
Nidoqueen,Drill Pokemon. Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
Nidoran (male),"Poison Pin Pokemon. Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
Nidorino,Poison Pin Pokemon. An aggressive Pokemon that is quick to attack. The horn on its head secretes a powerful venom.
Nidoking,"Drill Pokemon. It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
Clefairy,Fairy Pokemon. Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
